question_id,strategy,category,question,answer,golden,quality,f1,exact_match,key_fact_recall,latency_s,prompt_tokens,completion_tokens,total_tokens,cost_usd,note
q-v2-003,cascade,resolved_conflict,"As a US team member using my Navan corporate card, what is the single-charge receipt threshold? Do I need to upload a receipt for a $62 client dinner?",,"The US single-charge receipt threshold was raised from $50 to $75 effective March 20, 2026. A $62 client dinner is below the new $75 threshold, so no receipt is required. The corporate-card-policy handbook page still shows $50 because the update has not yet been merged. Any charge over $75 must still be uploaded into Navan within 30 days of the transaction, and a Missing Receipt Affidavit is still required if a receipt is lost.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-004,cascade,resolved_conflict,I'm a Director. How often are Director+ bonuses paid out?,,"Effective Q2 2026 (April 1, 2026), Director+ bonuses are paid quarterly (4 payouts per year) instead of the previously published semi-annual cadence. The total-rewards-compensation handbook page still lists semi-annual because the MR is in flight. The target percentage of base salary is unchanged and payouts remain tied to company performance — the amount is simply split into four quarterly installments. The first quarterly payout lands mid-July after Q2 closes.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-005,cascade,source_only,What is the current mental health benefit vendor at GitLab and how many therapy sessions does it cover?,,"GitLab migrated from Modern Health to Spring Health on April 1, 2026. Each team member gets 12 free therapy sessions per calendar year (up from 8 with Modern Health), plus unlimited coaching, a meditation library, and dependent coverage for household members aged 13+. Sign in at gitlab.springhealth.com with your GitLab email using the activation code sent by benefits@gitlab.com. The separate EAP through New York Life (3 face-to-face sessions) is unchanged.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-006,cascade,source_only,"Can I expense a ChatGPT Plus subscription, and what are the rules for using AI tools with GitLab data?",,"Yes — as of April 5, 2026, individual AI tool subscriptions up to $50/month per team member are pre-approved and can be expensed through Navan under the new ""AI Tools"" category, with no Zip request or Security/Privacy review required. The pre-approved list includes ChatGPT Plus/Team, Claude Pro/Max, Gemini Advanced, GitHub Copilot, Cursor, and Perplexity Pro. Data rules: no customer data, no unreleased source code, and no personnel data in any prompt. Summaries, public docs, and your own work-in",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-007,cascade,multi_source,I'm starting as a staff-augmentation contractor next week. Who handles my onboarding and where can I ask contractor-specific questions in Slack?,,"Contractor onboarding is handled by the Procurement team, not People Ops — the Contingent Worker Policy covers the three categories of contingent workers (Staff Augmentation, Consultancy Services, Independent Contractors). For day-to-day questions, join the dedicated #contractor-hub Slack channel (created March 28, 2026). Tag @contractor-ops during business hours (9am-6pm ET, Mon-Fri) for urgent questions; tag @procurement_team for onboarding paperwork. A pinned FAQ in the channel covers the thr",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-008,cascade,multi_source,"I've been summoned for jury duty on a potential 4-week trial. How much paid leave do I get, and how do I log it?",,"GitLab provides up to 30 working days of paid jury-duty / legal civic obligation leave per authorized leave (raised from 25 working days effective March 25, 2026). A 4-week trial is well within the cap. Pay is 100% of weekly wages. Log it in Workday under Time-Off → Jury Duty and attach a copy of your summons. The leave is available from day one of employment and runs concurrently with other job-protected or income-replacement leave as required by law. If your service exceeds 30 working days, em",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-009,cascade,single_source,"What's the maximum duration of short-term disability coverage at GitLab, and what percentage of my salary does it replace?",,"GitLab provides short-term disability insurance at no cost to employees. It replaces up to 66.7% of base salary for qualifying disabilities, with a maximum benefit period of 26 weeks. To apply, contact Absence Management at leaves@gitlab.com to submit a Short-Term Disability application. Within 3 business days, New York Life (NYLife) contacts you for additional information if needed, then issues a decision. Absence Management files all paperwork in Workday.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-010,cascade,single_source,"I was called up for a 9-month military deployment. After service ends, how long do I have to apply for reinstatement at GitLab?",,"For military leave exceeding 180 days (9 months qualifies), you have 90 days from the end of service to apply for reinstatement at GitLab. The ""escalator principle"" applies — you return to the position you would have attained if you had not been called to serve. Unpaid military leave can extend up to 6 months, after which you are offboarded but remain eligible for reinstatement. Healthcare may be retained at your own expense for up to 2 years or end of service, whichever comes first; otherwise b",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-001,ensemble,resolved_conflict,I'm enrolling in the HDHP as a single filer (Team Member Only). How much does GitLab contribute to my HSA each month?,,"As of April 1, 2026, GitLab contributes $125 per month to your HSA for Team Member Only (individual) coverage on the HDHP plan — raised from the previously published $100/month figure. The us-benefits-overview handbook page still shows the old $100/month number but PlanSource is already applying the new amount. You must be enrolled in the HDHP to be eligible, and HSA contributions are taxable at the state level in California, Alabama, and New Jersey.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-002,ensemble,resolved_conflict,How many weeks of paid parental leave does GitLab offer?,,"Effective April 1, 2026, GitLab Paid Parental Leave is 20 weeks of fully paid leave (raised from the previously published 16 weeks). The parental-and-other-leave handbook page still shows 16 weeks because the MR has not yet merged. Pay remains 100% of weekly wages, leave can still be split into up to 3 segments, and it must still be used before the child's first birthday or the first anniversary of adoption. USA/Canada team members submit to Tilt 30-45 days before leave.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-003,ensemble,resolved_conflict,"As a US team member using my Navan corporate card, what is the single-charge receipt threshold? Do I need to upload a receipt for a $62 client dinner?",,"The US single-charge receipt threshold was raised from $50 to $75 effective March 20, 2026. A $62 client dinner is below the new $75 threshold, so no receipt is required. The corporate-card-policy handbook page still shows $50 because the update has not yet been merged. Any charge over $75 must still be uploaded into Navan within 30 days of the transaction, and a Missing Receipt Affidavit is still required if a receipt is lost.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-004,ensemble,resolved_conflict,I'm a Director. How often are Director+ bonuses paid out?,,"Effective Q2 2026 (April 1, 2026), Director+ bonuses are paid quarterly (4 payouts per year) instead of the previously published semi-annual cadence. The total-rewards-compensation handbook page still lists semi-annual because the MR is in flight. The target percentage of base salary is unchanged and payouts remain tied to company performance — the amount is simply split into four quarterly installments. The first quarterly payout lands mid-July after Q2 closes.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-005,ensemble,source_only,What is the current mental health benefit vendor at GitLab and how many therapy sessions does it cover?,,"GitLab migrated from Modern Health to Spring Health on April 1, 2026. Each team member gets 12 free therapy sessions per calendar year (up from 8 with Modern Health), plus unlimited coaching, a meditation library, and dependent coverage for household members aged 13+. Sign in at gitlab.springhealth.com with your GitLab email using the activation code sent by benefits@gitlab.com. The separate EAP through New York Life (3 face-to-face sessions) is unchanged.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-006,ensemble,source_only,"Can I expense a ChatGPT Plus subscription, and what are the rules for using AI tools with GitLab data?",,"Yes — as of April 5, 2026, individual AI tool subscriptions up to $50/month per team member are pre-approved and can be expensed through Navan under the new ""AI Tools"" category, with no Zip request or Security/Privacy review required. The pre-approved list includes ChatGPT Plus/Team, Claude Pro/Max, Gemini Advanced, GitHub Copilot, Cursor, and Perplexity Pro. Data rules: no customer data, no unreleased source code, and no personnel data in any prompt. Summaries, public docs, and your own work-in",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-007,ensemble,multi_source,I'm starting as a staff-augmentation contractor next week. Who handles my onboarding and where can I ask contractor-specific questions in Slack?,,"Contractor onboarding is handled by the Procurement team, not People Ops — the Contingent Worker Policy covers the three categories of contingent workers (Staff Augmentation, Consultancy Services, Independent Contractors). For day-to-day questions, join the dedicated #contractor-hub Slack channel (created March 28, 2026). Tag @contractor-ops during business hours (9am-6pm ET, Mon-Fri) for urgent questions; tag @procurement_team for onboarding paperwork. A pinned FAQ in the channel covers the thr",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-008,ensemble,multi_source,"I've been summoned for jury duty on a potential 4-week trial. How much paid leave do I get, and how do I log it?",,"GitLab provides up to 30 working days of paid jury-duty / legal civic obligation leave per authorized leave (raised from 25 working days effective March 25, 2026). A 4-week trial is well within the cap. Pay is 100% of weekly wages. Log it in Workday under Time-Off → Jury Duty and attach a copy of your summons. The leave is available from day one of employment and runs concurrently with other job-protected or income-replacement leave as required by law. If your service exceeds 30 working days, em",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-009,ensemble,single_source,"What's the maximum duration of short-term disability coverage at GitLab, and what percentage of my salary does it replace?",,"GitLab provides short-term disability insurance at no cost to employees. It replaces up to 66.7% of base salary for qualifying disabilities, with a maximum benefit period of 26 weeks. To apply, contact Absence Management at leaves@gitlab.com to submit a Short-Term Disability application. Within 3 business days, New York Life (NYLife) contacts you for additional information if needed, then issues a decision. Absence Management files all paperwork in Workday.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-010,ensemble,single_source,"I was called up for a 9-month military deployment. After service ends, how long do I have to apply for reinstatement at GitLab?",,"For military leave exceeding 180 days (9 months qualifies), you have 90 days from the end of service to apply for reinstatement at GitLab. The ""escalator principle"" applies — you return to the position you would have attained if you had not been called to serve. Unpaid military leave can extend up to 6 months, after which you are offboarded but remain eligible for reinstatement. Healthcare may be retained at your own expense for up to 2 years or end of service, whichever comes first; otherwise b",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-001,meta_harness,resolved_conflict,I'm enrolling in the HDHP as a single filer (Team Member Only). How much does GitLab contribute to my HSA each month?,,"As of April 1, 2026, GitLab contributes $125 per month to your HSA for Team Member Only (individual) coverage on the HDHP plan — raised from the previously published $100/month figure. The us-benefits-overview handbook page still shows the old $100/month number but PlanSource is already applying the new amount. You must be enrolled in the HDHP to be eligible, and HSA contributions are taxable at the state level in California, Alabama, and New Jersey.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-002,meta_harness,resolved_conflict,How many weeks of paid parental leave does GitLab offer?,,"Effective April 1, 2026, GitLab Paid Parental Leave is 20 weeks of fully paid leave (raised from the previously published 16 weeks). The parental-and-other-leave handbook page still shows 16 weeks because the MR has not yet merged. Pay remains 100% of weekly wages, leave can still be split into up to 3 segments, and it must still be used before the child's first birthday or the first anniversary of adoption. USA/Canada team members submit to Tilt 30-45 days before leave.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-003,meta_harness,resolved_conflict,"As a US team member using my Navan corporate card, what is the single-charge receipt threshold? Do I need to upload a receipt for a $62 client dinner?",,"The US single-charge receipt threshold was raised from $50 to $75 effective March 20, 2026. A $62 client dinner is below the new $75 threshold, so no receipt is required. The corporate-card-policy handbook page still shows $50 because the update has not yet been merged. Any charge over $75 must still be uploaded into Navan within 30 days of the transaction, and a Missing Receipt Affidavit is still required if a receipt is lost.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-004,meta_harness,resolved_conflict,I'm a Director. How often are Director+ bonuses paid out?,,"Effective Q2 2026 (April 1, 2026), Director+ bonuses are paid quarterly (4 payouts per year) instead of the previously published semi-annual cadence. The total-rewards-compensation handbook page still lists semi-annual because the MR is in flight. The target percentage of base salary is unchanged and payouts remain tied to company performance — the amount is simply split into four quarterly installments. The first quarterly payout lands mid-July after Q2 closes.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-005,meta_harness,source_only,What is the current mental health benefit vendor at GitLab and how many therapy sessions does it cover?,,"GitLab migrated from Modern Health to Spring Health on April 1, 2026. Each team member gets 12 free therapy sessions per calendar year (up from 8 with Modern Health), plus unlimited coaching, a meditation library, and dependent coverage for household members aged 13+. Sign in at gitlab.springhealth.com with your GitLab email using the activation code sent by benefits@gitlab.com. The separate EAP through New York Life (3 face-to-face sessions) is unchanged.",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-006,meta_harness,source_only,"Can I expense a ChatGPT Plus subscription, and what are the rules for using AI tools with GitLab data?",,"Yes — as of April 5, 2026, individual AI tool subscriptions up to $50/month per team member are pre-approved and can be expensed through Navan under the new ""AI Tools"" category, with no Zip request or Security/Privacy review required. The pre-approved list includes ChatGPT Plus/Team, Claude Pro/Max, Gemini Advanced, GitHub Copilot, Cursor, and Perplexity Pro. Data rules: no customer data, no unreleased source code, and no personnel data in any prompt. Summaries, public docs, and your own work-in",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-007,meta_harness,multi_source,I'm starting as a staff-augmentation contractor next week. Who handles my onboarding and where can I ask contractor-specific questions in Slack?,,"Contractor onboarding is handled by the Procurement team, not People Ops — the Contingent Worker Policy covers the three categories of contingent workers (Staff Augmentation, Consultancy Services, Independent Contractors). For day-to-day questions, join the dedicated #contractor-hub Slack channel (created March 28, 2026). Tag @contractor-ops during business hours (9am-6pm ET, Mon-Fri) for urgent questions; tag @procurement_team for onboarding paperwork. A pinned FAQ in the channel covers the thr",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-008,meta_harness,multi_source,"I've been summoned for jury duty on a potential 4-week trial. How much paid leave do I get, and how do I log it?",,"GitLab provides up to 30 working days of paid jury-duty / legal civic obligation leave per authorized leave (raised from 25 working days effective March 25, 2026). A 4-week trial is well within the cap. Pay is 100% of weekly wages. Log it in Workday under Time-Off → Jury Duty and attach a copy of your summons. The leave is available from day one of employment and runs concurrently with other job-protected or income-replacement leave as required by law. If your service exceeds 30 working days, em",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
q-v2-009,meta_harness,single_source,"What's the maximum duration of short-term disability coverage at GitLab, and what percentage of my salary does it replace?","I don't have information about short-term disability coverage duration or salary replacement percentage in the provided sources.   The sources include information about various leave types (parental leave, PTO, sick time, jury duty) and US benefits overview, but none of them contain details about short-term disability coverage terms or benefits.  To get this information, I'd recommend: - Checking the full benefits documentation in PlanSource (accessible through Workday) - Contacting the People O","GitLab provides short-term disability insurance at no cost to employees. It replaces up to 66.7% of base salary for qualifying disabilities, with a maximum benefit period of 26 weeks. To apply, contact Absence Management at leaves@gitlab.com to submit a Short-Term Disability application. Within 3 business days, New York Life (NYLife) contacts you for additional information if needed, then issues a decision. Absence Management files all paperwork in Workday.",0.0,0.156,0.0,0.0,8.14,11857,133,11990,0.03838,"Agent abstained despite golden answer providing concrete facts. Should have provided: 26 weeks max duration, 66.7% salar"
q-v2-010,meta_harness,single_source,"I was called up for a 9-month military deployment. After service ends, how long do I have to apply for reinstatement at GitLab?",,"For military leave exceeding 180 days (9 months qualifies), you have 90 days from the end of service to apply for reinstatement at GitLab. The ""escalator principle"" applies — you return to the position you would have attained if you had not been called to serve. Unpaid military leave can extend up to 6 months, after which you are offboarded but remain eligible for reinstatement. Healthcare may be retained at your own expense for up to 2 years or end of service, whichever comes first; otherwise b",0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,"strategy-error: Error code: 429 - {'message': 'Too many requests, please wait before trying again.'}"
